Region,Product,Sales,Units,Month,Year
North,Webcam,6335,64,August,2022
Northwest,Printer,31205,102,December,2023
Northeast,Mouse,2710,80,March,2024
Midwest,Monitor,17265,67,June,2022
Central,Laptop,9001,11,April,2022
Southwest,Headphones,15989,100,May,2023
Southeast,Mouse,2558,63,June,2023
North,Laptop,84262,105,April,2022
Northwest,Mouse,3221,93,March,2022
West,Monitor,10865,41,December,2022
Central,Phone,40414,79,January,2023
East,Webcam,7068,69,August,2024
West,Monitor,23840,92,June,2023
North,Phone,22225,44,June,2022
Southwest,Phone,15307,29,September,2022
South,Speaker,16386,79,October,2023
South,Keyboard,3040,33,May,2023
Southeast,Phone,24223,47,December,2024
Midwest,Laptop,21174,26,January,2024
Northeast,Headphones,13336,85,October,2022
East,Laptop,36367,45,November,2022
Midwest,Tablet,26099,84,August,2022
Southeast,Keyboard,2513,25,November,2022
Central,Headphones,12086,79,April,2024
South,Tablet,14364,45,December,2024
West,Phone,14942,29,June,2024
West,Printer,28895,96,January,2023
Northwest,Laptop,55783,69,June,2024
Northeast,Webcam,3142,31,April,2024
North,Speaker,12175,58,January,2024
South,Keyboard,1946,15,May,2023
North,Keyboard,4663,48,October,2024
North,Laptop,18953,23,November,2023
East,Webcam,9761,104,July,2022
South,Keyboard,8244,91,November,2023
Northwest,Laptop,82042,102,March,2023
North,Monitor,23679,93,July,2023
East,Tablet,24873,81,May,2023
Midwest,Speaker,15412,74,October,2024
Northeast,Monitor,4111,14,March,2023
Northwest,Phone,30442,60,May,2022
East,Webcam,4408,39,March,2024
Midwest,Phone,37286,74,June,2022
Northeast,Printer,31564,102,April,2022
Central,Monitor,27191,108,April,2022
Central,Tablet,21832,72,June,2022
Northeast,Speaker,16688,83,August,2024
East,Webcam,1987,11,August,2024
East,Keyboard,4954,54,December,2022
Southeast,Keyboard,7394,87,November,2024
Southeast,Laptop,72268,90,November,2024
North,Phone,23769,47,December,2023
Northwest,Webcam,4470,46,December,2024
West,Headphones,14445,92,July,2024
South,Printer,15906,50,April,2024
South,Laptop,26742,33,November,2022
North,Keyboard,5085,61,September,2022
Northwest,Laptop,81595,101,June,2022
Southeast,Mouse,1695,52,December,2024
Midwest,Laptop,61161,76,August,2024
Central,Keyboard,9235,108,May,2023
West,Tablet,24966,82,August,2022
Northeast,Webcam,7920,77,October,2023
North,Printer,31087,102,April,2023
Northwest,Speaker,10811,52,August,2023
East,Phone,46475,91,March,2022
Southeast,Laptop,83352,104,May,2024
West,Laptop,24965,30,July,2022
North,Speaker,20013,99,July,2024
West,Phone,38642,77,April,2023
Southeast,Monitor,17110,65,December,2022
South,Speaker,20857,100,March,2023
Central,Laptop,37052,46,January,2024
West,Webcam,10029,105,October,2024
North,Keyboard,8161,92,March,2024
East,Webcam,7130,74,January,2022
South,Webcam,5466,58,July,2024
Midwest,Keyboard,8293,96,November,2024
West,Speaker,13390,66,January,2024
Northwest,Webcam,2926,26,January,2022
North,Mouse,1704,24,December,2024
Northeast,Mouse,2078,40,January,2024
Southeast,Phone,44636,88,September,2023
Northwest,Speaker,13192,63,August,2023
Northwest,Printer,16751,54,July,2023
Southeast,Speaker,8296,37,November,2024
East,Printer,19868,65,March,2024
North,Keyboard,1984,14,December,2023
Northeast,Headphones,12230,78,October,2024
Southeast,Tablet,8367,25,August,2023
North,Printer,31311,102,February,2022
North,Mouse,2909,69,November,2023
North,Laptop,12418,15,April,2023
West,Tablet,28744,94,August,2022
Northeast,Webcam,6275,63,November,2023
Northwest,Tablet,18530,59,April,2024
South,Webcam,6037,66,July,2022
Northwest,Phone,8388,15,November,2024
Central,Keyboard,2678,22,January,2022
Midwest,Keyboard,4852,59,December,2023
Midwest,Mouse,1235,19,December,2024
North,Mouse,979,17,August,2024
Central,Printer,11681,36,February,2024
Central,Speaker,9624,47,November,2023
North,Tablet,19057,62,September,2024
Southeast,Tablet,25089,81,March,2024
Northwest,Webcam,7250,72,November,2024
Southwest,Speaker,4942,22,April,2024
West,Keyboard,2538,21,March,2024
West,Keyboard,5686,64,May,2024
Southwest,Tablet,22044,72,March,2024
North,Headphones,12549,77,October,2024
Southeast,Webcam,7165,76,May,2023
Southwest,Headphones,14704,95,March,2023
Midwest,Monitor,23075,91,December,2024
North,Mouse,3172,93,April,2022
Northwest,Webcam,5678,57,July,2022
Midwest,Speaker,20650,101,November,2023
North,Mouse,2022,55,August,2022
South,Keyboard,5502,66,December,2024
North,Headphones,5912,36,April,2023
Southwest,Speaker,21371,104,November,2023
West,Monitor,12544,49,June,2022
Southeast,Phone,47884,95,April,2024
Northeast,Webcam,7469,72,November,2024
Northeast,Keyboard,6509,73,October,2022
Southwest,Phone,23482,45,January,2023
West,Tablet,20612,68,November,2023
East,Webcam,4644,51,March,2023
North,Printer,6525,20,July,2023
Central,Printer,14834,47,June,2022
South,Laptop,66306,82,December,2022
East,Headphones,13820,89,July,2022
West,Printer,8633,28,October,2022
Southeast,Headphones,7251,48,January,2024
Southeast,Phone,46384,91,October,2024
North,Webcam,2141,18,August,2023
South,Webcam,7608,76,July,2022
East,Monitor,27377,109,August,2023
Southwest,Printer,23807,79,November,2024
East,Tablet,7171,22,March,2024
Midwest,Headphones,10688,67,August,2023
West,Phone,5942,10,July,2024
Northwest,Webcam,6383,68,September,2022
Central,Phone,9724,18,March,2023
East,Laptop,12664,15,January,2024
Northwest,Keyboard,5713,68,August,2024
Northwest,Headphones,15295,101,March,2022
Southwest,Phone,39262,78,May,2022
Northwest,Webcam,10002,109,March,2023
Northwest,Monitor,15275,58,August,2022
Central,Phone,22188,43,July,2024
Southeast,Monitor,5984,22,August,2024
West,Headphones,3437,21,July,2024
Northwest,Headphones,15540,97,July,2024
Northwest,Mouse,1896,47,November,2023
Midwest,Webcam,9032,93,April,2024
Midwest,Mouse,3075,101,December,2022
Northwest,Tablet,7475,22,March,2024
West,Printer,12927,43,August,2022
South,Printer,18540,60,September,2023
Southeast,Headphones,2573,12,February,2024
Northeast,Tablet,16574,54,January,2023
West,Printer,13637,43,July,2024
Northwest,Webcam,3182,31,January,2022
Southeast,Laptop,54568,67,June,2022
North,Printer,10858,36,May,2022
West,Webcam,4852,48,May,2024
Midwest,Tablet,3576,10,January,2022
Midwest,Tablet,31551,102,September,2024
Southeast,Speaker,6612,30,November,2024
West,Tablet,24467,79,January,2023
South,Headphones,2611,14,April,2024
Midwest,Mouse,3163,100,July,2023
North,Speaker,7460,33,July,2024
Southeast,Headphones,1809,11,December,2022
West,Printer,13218,43,September,2023
East,Keyboard,7657,86,September,2024
Southeast,Mouse,2874,64,January,2022
South,Printer,25691,84,November,2024
South,Printer,13983,44,March,2022
North,Keyboard,4811,56,November,2024
Southeast,Speaker,9519,43,January,2023
Midwest,Printer,20621,68,December,2024
Central,Laptop,16750,20,June,2022
Northeast,Phone,51497,102,September,2023
East,Tablet,6178,18,November,2024
Northeast,Tablet,29368,96,May,2022
West,Webcam,7735,75,May,2022
East,Keyboard,3488,36,April,2023
South,Speaker,14541,68,September,2023
East,Laptop,45688,56,August,2023
West,Laptop,72960,90,April,2022
South,Webcam,997,10,January,2024
East,Speaker,8548,42,June,2022
Southwest,Speaker,2152,10,December,2022
Southeast,Webcam,9392,97,November,2023
Southwest,Keyboard,8799,109,June,2022
Northwest,Headphones,4238,24,April,2024
Southwest,Webcam,2287,16,May,2024
Southwest,Webcam,8476,91,December,2023
Northeast,Speaker,18938,91,July,2023
Southeast,Mouse,3559,95,May,2022
Midwest,Mouse,2646,59,May,2023
South,Phone,27291,54,July,2023
Northwest,Headphones,11987,78,December,2023
West,Mouse,2313,75,March,2023
East,Tablet,6403,20,August,2022
East,Headphones,3513,23,October,2024
Northeast,Printer,18501,60,June,2022
Northeast,Printer,31198,103,September,2022
East,Mouse,1650,41,August,2022
Central,Webcam,8587,94,November,2022
Northeast,Speaker,10640,52,July,2022
Central,Monitor,15582,59,November,2022
North,Tablet,8415,27,October,2023
Northeast,Mouse,3008,73,September,2022
Northeast,Monitor,22609,89,May,2022
Central,Tablet,9434,29,September,2023
Midwest,Laptop,61338,76,July,2023
North,Speaker,5741,24,October,2024
Northeast,Mouse,1293,16,October,2023
South,Mouse,836,24,April,2024
North,Tablet,15181,50,October,2024
Northeast,Headphones,15452,103,May,2023
Southeast,Headphones,5702,36,December,2023
Southeast,Webcam,3031,29,January,2023
Southwest,Phone,28313,56,September,2024
Northwest,Monitor,8587,31,March,2023
South,Mouse,2154,60,July,2023
Central,Headphones,11338,69,January,2024
Northeast,Headphones,6630,43,July,2024
Midwest,Headphones,2636,11,August,2023
North,Webcam,6122,59,December,2024
Southeast,Laptop,70198,87,October,2022
East,Phone,11767,22,November,2023
Northeast,Mouse,2868,73,March,2022
Southwest,Printer,7870,26,April,2022
Northeast,Headphones,2724,13,April,2022
Midwest,Monitor,5819,21,March,2024
North,Phone,43307,85,November,2024
Central,Mouse,1583,45,February,2022
East,Laptop,35497,44,November,2024
Southeast,Keyboard,8048,90,January,2023
South,Phone,37384,74,March,2022
West,Webcam,3157,25,October,2022
Southwest,Phone,31069,61,November,2022
Midwest,Webcam,7153,69,May,2023
West,Laptop,72153,90,December,2024
Northwest,Phone,8509,17,December,2024
Midwest,Mouse,3444,107,October,2023
East,Phone,6793,13,January,2022
Northwest,Mouse,2629,71,December,2024
South,Phone,52082,104,July,2023
North,Webcam,8886,88,July,2022
North,Webcam,5841,60,April,2023
North,Printer,24126,80,October,2024
South,Keyboard,1568,12,August,2023
Southwest,Keyboard,2173,18,December,2024
Midwest,Speaker,19213,93,July,2022
East,Monitor,4591,15,May,2023
Midwest,Keyboard,8003,90,February,2024
East,Headphones,2928,14,April,2024
Southeast,Tablet,31823,106,April,2023
North,Speaker,21129,104,June,2022
South,Tablet,19974,65,August,2024
Northwest,Tablet,23455,76,April,2023
Southeast,Printer,19706,63,April,2023
North,Phone,20535,40,December,2023
South,Keyboard,8430,99,April,2023
Northwest,Webcam,3572,39,March,2024
East,Mouse,2823,77,November,2024
West,Speaker,14996,71,June,2023
East,Printer,23903,78,May,2022
Southeast,Monitor,25610,99,February,2022
North,Monitor,11677,44,December,2022
Northwest,Monitor,22052,85,November,2024
Midwest,Headphones,16875,109,December,2022
Northeast,Printer,15309,51,June,2022
Central,Headphones,4463,24,May,2024
West,Printer,11556,37,December,2022
Southwest,Speaker,19070,91,February,2024
Northwest,Keyboard,5129,63,March,2023
Northwest,Headphones,4518,29,March,2022
Central,Webcam,1267,11,January,2022
West,Keyboard,6121,67,November,2023
North,Phone,8411,16,December,2023
Southwest,Mouse,2428,59,April,2024
East,Speaker,13009,61,June,2022
Midwest,Printer,16611,55,December,2022
Central,Laptop,28290,35,July,2024
Southeast,Tablet,8643,28,December,2023
West,Keyboard,1708,15,April,2024
Northwest,Phone,17376,34,December,2023
Northeast,Laptop,41829,52,May,2024
Southeast,Laptop,76910,95,May,2024
West,Headphones,16268,103,January,2024
Central,Laptop,62662,78,May,2024
Northeast,Mouse,1215,21,September,2024
Midwest,Webcam,5601,53,February,2022
South,Tablet,20126,64,January,2022
Southeast,Laptop,35872,44,February,2024
East,Printer,13097,42,January,2024
West,Phone,13466,25,March,2024
Northwest,Printer,30045,100,July,2024
Southwest,Webcam,6978,77,December,2024
Southwest,Laptop,20243,25,January,2023
Central,Headphones,14753,98,March,2024
Midwest,Monitor,17631,67,March,2024
South,Webcam,8536,86,November,2024
Southeast,Tablet,4603,15,September,2023
South,Laptop,56513,70,February,2023
Midwest,Mouse,1032,15,February,2022
South,Mouse,2209,72,August,2022
North,Monitor,16886,67,October,2024
East,Tablet,19865,66,May,2022
North,Printer,5116,14,May,2022
Northeast,Webcam,9582,100,January,2022
West,Keyboard,2191,25,July,2023
North,Tablet,20648,67,February,2024
East,Webcam,2219,19,October,2022
West,Printer,8797,26,November,2024
Southeast,Laptop,49185,61,March,2022
West,Printer,14101,45,February,2023
Southwest,Tablet,17828,59,November,2023
Central,Speaker,10769,49,October,2023
Northwest,Mouse,2111,61,September,2022
South,Keyboard,1961,18,April,2024
Midwest,Keyboard,2688,25,March,2022
South,Keyboard,4979,51,May,2023
Southwest,Tablet,13616,43,September,2024
Southeast,Tablet,8832,28,February,2023
Midwest,Webcam,7081,75,January,2023
Central,Monitor,24839,99,August,2024
Southeast,Headphones,5043,30,February,2024
Central,Webcam,4328,46,February,2023
Southwest,Mouse,1515,34,July,2023
North,Laptop,43399,53,March,2024
North,Monitor,4304,15,November,2023
Northeast,Speaker,8139,40,January,2022
South,Headphones,9374,58,September,2024
South,Laptop,72378,90,October,2023
Northwest,Laptop,31047,38,February,2022
Midwest,Phone,19552,38,September,2024
South,Keyboard,4926,61,October,2024
South,Keyboard,6297,73,October,2023
Southeast,Laptop,23276,28,January,2023
Central,Keyboard,7453,93,December,2023
Central,Printer,16395,52,July,2024
West,Laptop,11226,13,July,2024
Southwest,Monitor,18478,72,February,2022
Midwest,Headphones,10667,71,May,2022
Southwest,Webcam,3826,36,January,2022
Southwest,Monitor,9686,38,April,2022
North,Printer,14115,47,February,2024
Northeast,Headphones,12046,78,July,2022
Southeast,Keyboard,6360,76,February,2022
Southwest,Tablet,11535,38,August,2022
East,Mouse,643,21,January,2023
Northwest,Laptop,64949,81,March,2022
Northwest,Keyboard,3576,40,August,2024
Midwest,Mouse,3149,102,June,2023
East,Webcam,6772,73,February,2022
East,Headphones,16466,104,July,2023
Southwest,Tablet,26465,85,September,2024
Central,Monitor,5514,19,June,2022
West,Phone,21527,42,July,2022
South,Phone,34261,67,August,2023
Northeast,Headphones,4598,30,January,2022
Southwest,Speaker,7219,34,June,2024
West,Mouse,1402,35,December,2022
Southeast,Webcam,8551,86,June,2022
North,Speaker,5853,25,March,2022
Northwest,Printer,14955,47,October,2022
Central,Printer,27655,89,October,2023
North,Keyboard,6418,74,June,2022
North,Printer,33317,108,August,2024
West,Laptop,48021,59,January,2024
Southwest,Mouse,3413,91,March,2022
East,Monitor,21341,82,February,2024
Southeast,Speaker,5464,26,February,2024
West,Headphones,8436,55,February,2022
North,Webcam,9904,101,February,2024
Southeast,Keyboard,6193,77,October,2022
Northwest,Headphones,6353,36,December,2022
Midwest,Laptop,23253,28,July,2022
West,Speaker,18792,90,October,2024
Northeast,Keyboard,2578,28,April,2024
South,Webcam,1259,12,October,2022
West,Speaker,4293,18,June,2023
Midwest,Keyboard,7821,93,May,2024
North,Webcam,5732,54,January,2023
West,Webcam,10359,107,August,2022
Central,Webcam,3468,28,April,2023
Midwest,Printer,26573,87,February,2024
Northwest,Phone,31469,62,December,2022
West,Printer,32338,107,June,2023
Northeast,Mouse,1569,33,May,2022
Northeast,Laptop,82287,102,July,2023
Central,Tablet,19083,61,June,2023
Central,Phone,10636,20,November,2022
Midwest,Speaker,21081,105,April,2024
Northwest,Keyboard,9065,107,May,2022
Midwest,Tablet,17826,57,April,2022
East,Monitor,11769,46,May,2024
West,Speaker,18053,89,July,2024
North,Laptop,15046,18,January,2024
West,Printer,19201,62,July,2024
Southwest,Speaker,7281,34,September,2024
Northwest,Monitor,15124,59,April,2024
Central,Tablet,21313,71,August,2023
Northwest,Laptop,79638,99,November,2024
Southwest,Phone,51592,103,October,2023
Northwest,Headphones,7558,49,February,2024
North,Phone,18370,36,July,2024
South,Printer,28890,95,July,2022
Northwest,Mouse,2980,79,February,2023
West,Headphones,13685,85,October,2022
South,Laptop,23316,29,February,2024
South,Phone,24267,47,February,2024
Southwest,Printer,11882,38,August,2022
North,Mouse,2074,59,November,2024
Southeast,Speaker,18097,88,March,2022
North,Monitor,3978,15,January,2022
North,Printer,32048,104,April,2023
Southeast,Headphones,14218,93,July,2024
Central,Printer,17752,59,November,2022
Northwest,Webcam,7888,82,December,2023
Midwest,Keyboard,8841,109,March,2024
Northeast,Laptop,87791,109,March,2024
North,Phone,8910,16,December,2023
North,Webcam,4762,48,December,2022
Midwest,Headphones,16798,107,August,2023
Northeast,Mouse,1753,29,February,2024
Midwest,Headphones,11187,70,April,2023
Northwest,Webcam,7769,80,August,2023
Northwest,Headphones,6665,39,January,2022
Northwest,Mouse,2965,67,June,2022
South,Monitor,20272,78,January,2024
South,Phone,43455,85,July,2024
North,Laptop,24809,30,January,2024
East,Laptop,40922,50,July,2024
Central,Monitor,9917,39,December,2023
Northeast,Monitor,26877,105,December,2023
Northwest,Keyboard,8400,94,May,2022
Northeast,Webcam,5713,60,January,2023
Northeast,Speaker,9322,44,March,2023
Southwest,Headphones,15214,96,December,2022
Southwest,Printer,23587,77,June,2022
Central,Speaker,10634,53,March,2023
Southwest,Keyboard,8439,98,March,2022
West,Mouse,471,15,July,2023
Northeast,Mouse,2523,55,November,2022
Midwest,Webcam,2330,25,October,2024
Central,Monitor,7897,28,October,2022
Northeast,Speaker,5634,28,October,2022
South,Mouse,1781,28,January,2024
Southeast,Phone,23477,45,February,2023
Southeast,Tablet,25269,82,March,2022
North,Keyboard,3352,40,August,2022
North,Laptop,59729,74,August,2022
Southeast,Printer,29100,96,January,2022
Northeast,Keyboard,2688,28,November,2023
North,Speaker,7373,36,November,2024
West,Laptop,56011,70,December,2024
Central,Keyboard,4707,52,March,2022
Southeast,Monitor,7105,28,August,2022
West,Phone,17569,34,April,2022
East,Mouse,3142,101,June,2023
Southeast,Keyboard,6532,73,December,2023
East,Webcam,6125,63,February,2023
Southwest,Keyboard,6201,75,February,2024
Southeast,Monitor,15485,61,December,2023
Northwest,Headphones,2385,12,January,2022
Southeast,Keyboard,7302,83,November,2024
East,Printer,11874,37,October,2022
Midwest,Webcam,4746,47,December,2022
Northeast,Monitor,15769,63,September,2024
Northeast,Monitor,19722,75,May,2022
East,Phone,9089,18,December,2022
Central,Headphones,7002,41,July,2023
Northwest,Phone,10865,21,April,2022
Southeast,Monitor,25676,99,August,2023
Northwest,Laptop,24256,30,July,2023
North,Tablet,15352,49,August,2022
Northwest,Printer,23406,78,February,2023
South,Phone,54392,108,August,2022
East,Webcam,3608,32,September,2023
West,Printer,18626,61,May,2023
West,Monitor,27150,105,June,2022
East,Tablet,30985,102,January,2022
East,Speaker,10754,50,June,2023
Northeast,Speaker,10508,50,April,2024
North,Printer,20006,66,January,2024
North,Phone,40820,81,May,2022
Northwest,Webcam,2508,22,January,2023
East,Speaker,4988,23,August,2023
Central,Speaker,12393,61,March,2023
Northeast,Monitor,4681,17,June,2023
Northwest,Webcam,2490,24,July,2023
Northwest,Laptop,55305,69,August,2024
Midwest,Monitor,24044,93,September,2023
South,Headphones,2431,15,September,2024
Southwest,Keyboard,2676,32,November,2023
South,Tablet,32855,109,September,2024
Central,Monitor,7067,27,April,2023
Midwest,Mouse,2168,52,April,2024
Southeast,Tablet,6358,19,July,2023
Southwest,Webcam,3311,33,February,2024
Southeast,Monitor,25388,99,June,2022
South,Phone,53226,105,November,2024
Southwest,Webcam,2442,25,December,2023
Southeast,Monitor,9775,36,March,2024
Central,Keyboard,6710,81,April,2023
South,Webcam,9936,104,June,2022
Southeast,Webcam,7774,78,May,2024
Midwest,Speaker,13221,65,December,2024
East,Tablet,17251,57,August,2024
Northeast,Headphones,15989,104,October,2022
West,Mouse,1587,41,July,2023
Northwest,Headphones,13589,84,February,2024
South,Webcam,5295,56,September,2022
Central,Mouse,3080,89,April,2023
Northeast,Keyboard,4244,41,July,2024
North,Laptop,74583,93,March,2022
Central,Mouse,3163,96,January,2024
North,Printer,18943,61,September,2022
Midwest,Speaker,7569,33,January,2023
Southwest,Keyboard,3935,37,June,2022
Southeast,Laptop,8274,10,February,2024
East,Keyboard,7380,89,April,2022
North,Monitor,11764,47,June,2024
Northwest,Printer,29713,99,April,2023
Southeast,Speaker,5630,25,May,2024
South,Tablet,16878,55,September,2022
Northeast,Keyboard,6607,76,October,2024
Southwest,Tablet,26802,89,January,2024
East,Mouse,1508,31,December,2024
Northwest,Laptop,50563,62,September,2023
Southwest,Laptop,20566,25,February,2024
Northwest,Tablet,30836,101,November,2024
South,Tablet,17668,58,September,2022
North,Phone,7605,14,December,2024
South,Phone,16517,33,March,2024
Northeast,Webcam,6372,63,September,2022
West,Speaker,12140,58,May,2023
Southwest,Speaker,10137,50,January,2024
West,Printer,33579,109,February,2023
South,Laptop,22462,27,April,2023
South,Phone,6846,13,August,2024
North,Speaker,19325,95,April,2022
North,Monitor,26819,107,August,2024
East,Headphones,7526,45,September,2023
Southeast,Phone,23604,46,January,2023
Central,Speaker,8055,39,October,2024
West,Headphones,8262,55,April,2023
Northwest,Laptop,68179,84,February,2023
North,Printer,4199,13,June,2024
East,Printer,19010,61,December,2022
Southeast,Phone,15274,29,June,2022
Southwest,Laptop,22845,28,January,2023
East,Webcam,6414,67,December,2023
Central,Tablet,26421,85,June,2024
Northwest,Headphones,15117,100,April,2022
Northwest,Mouse,1929,62,January,2022
Northeast,Printer,26802,87,November,2024
Northwest,Keyboard,5765,67,December,2024
Northwest,Phone,29305,57,June,2024
Midwest,Phone,20412,40,November,2024
East,Webcam,4896,53,January,2023
West,Webcam,1998,12,July,2024
Central,Printer,19711,65,June,2023
Northwest,Speaker,9689,46,March,2024
Northwest,Laptop,51669,64,March,2024
South,Printer,19042,63,January,2024
Southwest,Phone,45618,91,October,2024
Northwest,Mouse,1422,30,April,2024
Central,Mouse,3264,96,May,2023
Central,Webcam,6355,63,July,2023
South,Headphones,12205,76,January,2022
Midwest,Headphones,5651,37,March,2022
West,Speaker,11141,54,March,2023
Northwest,Webcam,3294,28,April,2024
Central,Printer,6424,21,May,2024
Northwest,Mouse,3381,88,September,2024
Midwest,Keyboard,2205,21,June,2024
Midwest,Tablet,23074,76,March,2024
East,Headphones,13246,88,November,2023
Northwest,Mouse,618,17,December,2023
Midwest,Phone,31974,63,April,2024
Southwest,Monitor,7128,27,July,2022
Northeast,Phone,43483,85,April,2024
North,Mouse,2755,67,February,2024
South,Keyboard,5045,51,July,2022
North,Laptop,8875,10,March,2022
Central,Phone,22218,44,December,2022
Southwest,Keyboard,6756,78,December,2024
North,Monitor,6063,23,December,2023
East,Printer,31564,103,April,2024
North,Tablet,14902,49,January,2024
North,Webcam,9322,98,January,2024
Northwest,Phone,14865,29,February,2024
South,Keyboard,1891,21,June,2022
Northwest,Laptop,87225,108,June,2024
Northeast,Phone,44473,87,November,2022
South,Keyboard,1328,13,December,2023
North,Monitor,15004,58,December,2022
West,Mouse,1747,41,November,2023
East,Monitor,13083,51,January,2022
West,Tablet,10215,33,February,2023
Central,Webcam,3131,30,February,2022
Central,Laptop,63265,78,January,2022
West,Phone,28832,57,November,2023
Midwest,Laptop,71038,88,December,2023
Northeast,Phone,39986,79,May,2024
Southwest,Mouse,2460,54,October,2023
Southwest,Speaker,10054,47,May,2024
Southeast,Phone,23314,46,October,2022
Southeast,Monitor,24709,97,March,2023
Northeast,Phone,48662,97,January,2024
North,Monitor,7861,30,April,2022
South,Webcam,6610,63,April,2024
Northeast,Tablet,27614,91,May,2024
West,Phone,49571,99,November,2024
Southeast,Tablet,25900,84,June,2023
North,Printer,21699,69,March,2023
Southwest,Webcam,5378,56,April,2022
West,Mouse,2867,83,August,2022
East,Mouse,3287,102,April,2022
Southwest,Webcam,5942,63,September,2023
East,Mouse,3583,88,September,2022
Central,Printer,5522,18,September,2022
Central,Webcam,6684,64,June,2024
South,Headphones,13960,92,May,2024
Southeast,Headphones,11559,73,February,2023
Southeast,Speaker,22235,107,February,2024
Central,Laptop,11336,14,November,2022
West,Webcam,3040,27,June,2024
Northwest,Laptop,21595,26,June,2023
Northwest,Tablet,22286,74,January,2022
Northeast,Keyboard,7758,87,July,2023
Midwest,Webcam,6580,69,February,2024
Midwest,Keyboard,5739,65,August,2023
Northeast,Monitor,20922,81,July,2023
West,Phone,33622,67,November,2023
North,Mouse,1387,43,September,2024
Northeast,Printer,16505,52,October,2023
South,Printer,20781,69,June,2024
Northeast,Webcam,9762,108,January,2024
Northeast,Tablet,21843,70,March,2024
Southwest,Laptop,55354,69,June,2023
Southwest,Tablet,25078,83,October,2023
Midwest,Keyboard,5362,60,February,2023
Northwest,Tablet,32253,105,September,2023
Midwest,Laptop,64126,80,November,2023
Southeast,Headphones,3942,21,May,2023
Northeast,Laptop,48007,60,November,2022
Northwest,Tablet,3823,12,September,2024
Southeast,Printer,7960,26,August,2023
East,Headphones,4560,28,July,2022
Northeast,Monitor,26491,103,August,2023
Northwest,Tablet,30598,100,March,2022
Central,Tablet,24949,81,September,2023
East,Mouse,3849,106,September,2023
South,Speaker,5982,27,February,2024
North,Monitor,11937,47,January,2022
Southwest,Webcam,6953,74,March,2024
Southeast,Phone,15697,31,July,2023
Southwest,Printer,12261,38,February,2022
East,Mouse,3001,96,November,2023
Central,Laptop,22326,27,March,2023
West,Speaker,20070,96,April,2023
Central,Printer,20751,67,April,2024
North,Monitor,19128,74,June,2024
Southeast,Keyboard,1220,15,September,2022
Southwest,Printer,32777,109,January,2023
South,Laptop,50709,63,January,2022
Midwest,Laptop,18623,23,November,2022
Northwest,Webcam,3761,39,November,2022
South,Printer,4098,12,June,2022
West,Laptop,65475,81,February,2024
Midwest,Headphones,10533,68,November,2023
West,Phone,6743,13,July,2023
Southwest,Mouse,1510,23,May,2022
Midwest,Speaker,17646,84,July,2022
West,Webcam,9126,98,November,2022
Southeast,Webcam,8044,85,November,2023
Southeast,Monitor,25006,97,June,2024
Northeast,Monitor,10702,40,August,2023
South,Laptop,62426,78,May,2023
Central,Keyboard,3017,30,December,2024
West,Phone,39203,78,February,2023
Central,Headphones,1950,10,September,2024
North,Printer,19377,62,August,2024
Central,Monitor,4273,16,November,2024
East,Keyboard,8195,101,March,2024
East,Printer,15866,50,November,2022
Southeast,Mouse,1723,39,February,2024
Southeast,Phone,7565,15,October,2023
South,Laptop,35293,44,July,2022
North,Monitor,14038,55,February,2023
North,Monitor,27783,108,February,2024
Southeast,Speaker,7762,34,February,2023
Southwest,Printer,13778,44,July,2022
Central,Headphones,12798,83,January,2022
West,Tablet,19228,63,November,2022
South,Tablet,23831,78,June,2023
Northeast,Mouse,1503,32,February,2024
Northeast,Speaker,11222,52,June,2024
Central,Phone,52810,105,October,2022
Northwest,Speaker,8964,41,December,2022
Southwest,Keyboard,1297,12,May,2023
East,Headphones,2982,17,August,2024
Northwest,Phone,18439,35,February,2024
Northeast,Speaker,21055,102,October,2022
North,Tablet,21668,71,July,2022
Central,Phone,38927,77,June,2024
North,Keyboard,3799,35,January,2023
West,Webcam,10250,109,December,2022
Southwest,Monitor,23040,91,April,2022
Southeast,Phone,39741,78,August,2023
Southwest,Printer,25661,85,September,2024
North,Keyboard,3102,30,June,2023
Central,Keyboard,5174,59,April,2024
Southeast,Tablet,7981,25,August,2023
Southeast,Monitor,4500,16,April,2022
West,Webcam,3831,41,February,2022
Northwest,Monitor,15461,61,December,2022
Northeast,Printer,14116,47,September,2023
North,Laptop,84901,106,May,2023
East,Mouse,2380,47,July,2024
Southwest,Headphones,15524,102,April,2024
East,Mouse,2507,79,June,2022
Northwest,Keyboard,1952,24,August,2024
South,Speaker,4056,17,November,2024
West,Webcam,2197,24,February,2022
East,Mouse,3761,101,July,2024
Northeast,Monitor,14621,58,February,2023
North,Keyboard,5357,66,February,2024
Northeast,Mouse,1887,42,January,2023
Northeast,Webcam,5385,56,May,2023
West,Phone,5755,10,August,2024
North,Keyboard,3444,37,March,2022
East,Webcam,9051,99,August,2023
Southeast,Speaker,9964,49,September,2023
Central,Printer,12010,40,December,2024
West,Monitor,13142,51,April,2023
Southwest,Webcam,1374,10,January,2023
Midwest,Phone,51814,102,November,2024
West,Webcam,1665,14,August,2022
South,Laptop,66358,82,October,2024
East,Keyboard,8029,100,December,2022
Southwest,Speaker,17042,84,January,2022
Midwest,Printer,22868,75,December,2023
Midwest,Webcam,7605,81,December,2023
West,Laptop,48518,60,September,2022
Northwest,Headphones,2217,14,July,2023
